Data;1168 - Saldo em juros flutuantes DI de depositos a prazo (CDBRDB) - Pessoas fisicas - u.m.c. (mil)
02/01/2004;19.436.701,72
05/01/2004;19.459.816,07
06/01/2004;19.475.927,06
07/01/2004;19.487.590,68
08/01/2004;19.495.126,65
09/01/2004;19.494.500,09
12/01/2004;19.462.947,96
13/01/2004;19.442.331,34
14/01/2004;19.450.699,36
15/01/2004;19.450.348,36
16/01/2004;19.448.525,82
19/01/2004;19.435.730,83
20/01/2004;19.450.721,91
21/01/2004;19.454.919,20
22/01/2004;19.466.295,60
23/01/2004;19.470.308,42
26/01/2004;19.496.336,11
27/01/2004;19.511.467,07
28/01/2004;19.509.188,89
29/01/2004;19.511.517,67
30/01/2004;19.541.657,57
02/02/2004;19.522.292,99
03/02/2004;19.535.863,10
04/02/2004;19.555.189,15
05/02/2004;19.564.924,26
06/02/2004;19.570.665,95
09/02/2004;19.573.781,30
10/02/2004;19.567.646,39
11/02/2004;19.591.423,37
12/02/2004;19.604.362,61
13/02/2004;19.623.515,39
16/02/2004;19.919.350,63
17/02/2004;19.902.646,48
18/02/2004;19.918.547,09
19/02/2004;19.934.531,18
20/02/2004;21.010.193,28
25/02/2004;19.959.321,12
26/02/2004;19.973.111,13
27/02/2004;19.993.254,97
01/03/2004;19.985.544,42
02/03/2004;19.998.710,08
03/03/2004;20.024.709,01
04/03/2004;20.056.844,73
05/03/2004;20.072.482,82
08/03/2004;20.120.249,87
09/03/2004;20.160.923,21
10/03/2004;20.198.273,37
11/03/2004;20.243.649,40
12/03/2004;20.268.100,68
15/03/2004;20.269.136,59
16/03/2004;20.310.002,41
17/03/2004;20.345.899,60
18/03/2004;20.404.238,76
19/03/2004;20.446.718,57
22/03/2004;20.457.715,05
23/03/2004;20.479.485,86
24/03/2004;20.499.951,27
25/03/2004;20.524.900,06
26/03/2004;20.550.791,05
29/03/2004;20.561.985,84
30/03/2004;20.579.109,83
31/03/2004;20.592.136,27
01/04/2004;20.608.170,12
02/04/2004;20.662.948,80
05/04/2004;20.665.522,04
06/04/2004;20.686.702,67
07/04/2004;20.725.409,85
08/04/2004;20.754.433,99
12/04/2004;20.755.849,42
13/04/2004;20.803.393,27
14/04/2004;20.819.930,01
15/04/2004;20.841.393,67
16/04/2004;20.884.581,84
19/04/2004;20.917.462,67
20/04/2004;20.953.352,09
22/04/2004;20.980.703,15
23/04/2004;21.002.025,15
26/04/2004;21.008.740,07
27/04/2004;21.028.145,60
28/04/2004;21.058.581,56
29/04/2004;21.081.110,65
30/04/2004;21.078.827,59
03/05/2004;21.103.167,47
04/05/2004;21.159.556,01
05/05/2004;21.228.204,83
06/05/2004;21.292.844,23
07/05/2004;21.361.502,17
10/05/2004;21.399.971,56
11/05/2004;21.472.403,90
12/05/2004;21.536.087,30
13/05/2004;21.617.084,05
14/05/2004;21.692.008,57
17/05/2004;21.723.835,43
18/05/2004;21.805.368,63
19/05/2004;21.865.842,48
20/05/2004;21.956.958,61
21/05/2004;22.027.792,16
24/05/2004;22.046.668,99
25/05/2004;22.115.178,54
26/05/2004;22.164.685,96
27/05/2004;22.206.755,80
28/05/2004;22.258.369,32
31/05/2004;22.261.106,90
01/06/2004;22.304.974,69
02/06/2004;22.349.757,35
03/06/2004;22.391.636,11
04/06/2004;22.449.267,30
07/06/2004;22.463.304,94
08/06/2004;22.510.909,09
09/06/2004;22.539.876,17
11/06/2004;22.551.394,32
14/06/2004;22.564.796,26
15/06/2004;22.590.487,95
16/06/2004;22.633.809,81
17/06/2004;22.672.614,60
18/06/2004;22.709.995,01
21/06/2004;22.717.950,56
22/06/2004;22.745.990,61
23/06/2004;22.777.119,42
24/06/2004;22.797.185,91
25/06/2004;22.834.367,74
28/06/2004;22.852.695,18
29/06/2004;22.889.064,36
30/06/2004;22.901.826,26
01/07/2004;22.935.194,10
02/07/2004;22.958.823,98
05/07/2004;22.963.285,44
06/07/2004;22.997.775,31
07/07/2004;23.019.727,69
08/07/2004;23.046.858,48
09/07/2004;23.060.868,85
12/07/2004;23.048.643,43
13/07/2004;23.068.609,55
14/07/2004;23.079.092,88
15/07/2004;23.087.122,18
16/07/2004;23.104.996,28
19/07/2004;23.112.620,41
20/07/2004;23.097.827,74
21/07/2004;23.121.392,79
22/07/2004;23.130.756,82
23/07/2004;23.153.018,99
26/07/2004;23.154.842,45
27/07/2004;23.171.193,38
28/07/2004;23.188.102,69
29/07/2004;23.204.984,84
30/07/2004;23.227.477,12
02/08/2004;23.254.856,78
03/08/2004;23.305.991,09
04/08/2004;23.348.025,52
05/08/2004;23.395.655,50
06/08/2004;23.444.301,84
09/08/2004;23.485.143,45
10/08/2004;23.537.189,99
11/08/2004;23.574.936,65
12/08/2004;23.605.921,38
13/08/2004;23.696.450,91
16/08/2004;23.782.146,55
17/08/2004;23.826.699,12
18/08/2004;23.897.034,78
19/08/2004;23.953.579,29
20/08/2004;24.008.418,79
23/08/2004;24.040.243,24
24/08/2004;24.094.275,51
25/08/2004;24.134.614,11
26/08/2004;24.162.828,85
27/08/2004;24.197.172,06
30/08/2004;24.198.948,23
31/08/2004;24.220.181,87
01/09/2004;24.252.706,84
02/09/2004;24.296.782,88
03/09/2004;24.348.019,21
06/09/2004;24.384.994,62
08/09/2004;24.407.966,48
09/09/2004;24.435.114,76
10/09/2004;24.481.508,29
13/09/2004;24.502.603,72
14/09/2004;24.552.620,75
15/09/2004;24.574.801,91
16/09/2004;24.611.016,84
17/09/2004;24.615.858,21
20/09/2004;24.629.469,99
21/09/2004;24.651.656,78
22/09/2004;24.725.049,30
23/09/2004;24.755.469,15
24/09/2004;24.796.303,68
27/09/2004;24.787.292,75
28/09/2004;24.806.507,80
29/09/2004;24.773.062,25
30/09/2004;24.750.643,29
01/10/2004;24.905.445,62
04/10/2004;24.939.283,55
05/10/2004;25.001.234,31
06/10/2004;25.039.167,47
07/10/2004;25.071.126,62
08/10/2004;25.107.625,82
11/10/2004;25.133.378,92
13/10/2004;25.158.492,16
14/10/2004;25.200.032,43
15/10/2004;25.235.281,44
18/10/2004;25.271.011,82
19/10/2004;25.324.872,12
20/10/2004;25.361.266,62
21/10/2004;25.405.249,96
22/10/2004;25.442.453,13
25/10/2004;25.492.899,16
26/10/2004;25.554.741,64
27/10/2004;25.578.266,48
28/10/2004;25.597.174,82
29/10/2004;25.610.781,85
01/11/2004;25.505.251,61
03/11/2004;25.525.867,41
04/11/2004;25.545.709,39
05/11/2004;25.576.451,69
08/11/2004;25.595.552,33
09/11/2004;25.627.159,70
10/11/2004;25.642.968,58
11/11/2004;25.552.301,86
12/11/2004;25.611.000,62
16/11/2004;25.629.643,04
17/11/2004;25.785.445,67
18/11/2004;25.859.238,01
19/11/2004;25.902.355,40
22/11/2004;25.915.818,58
23/11/2004;25.989.300,10
24/11/2004;26.047.971,77
25/11/2004;26.087.165,81
26/11/2004;26.125.009,73
29/11/2004;26.153.094,41
30/11/2004;26.169.567,02
01/12/2004;26.202.982,72
02/12/2004;26.246.102,42
03/12/2004;26.278.211,78
06/12/2004;26.275.941,27
07/12/2004;26.315.691,83
08/12/2004;26.344.706,68
09/12/2004;26.361.231,59
10/12/2004;26.390.758,67
13/12/2004;26.437.165,56
14/12/2004;26.517.492,43
15/12/2004;26.557.460,80
16/12/2004;26.608.859,72
17/12/2004;26.655.941,06
20/12/2004;26.679.467,35
21/12/2004;26.712.942,30
22/12/2004;26.806.335,78
23/12/2004;26.842.754,84
24/12/2004;26.864.310,15
27/12/2004;26.899.050,29
28/12/2004;26.917.629,86
29/12/2004;26.897.510,53
30/12/2004;26.898.397,84
31/12/2004;26.896.339,73
03/01/2005;27.063.871,42
04/01/2005;27.167.267,90
05/01/2005;27.291.164,82
06/01/2005;27.369.656,36
07/01/2005;27.452.058,72
10/01/2005;27.501.366,75
11/01/2005;27.584.492,30
12/01/2005;27.668.706,37
13/01/2005;27.762.589,31
14/01/2005;27.832.780,99
17/01/2005;27.875.455,96
18/01/2005;27.927.298,50
19/01/2005;28.008.902,40
20/01/2005;28.094.638,43
21/01/2005;28.167.275,32
24/01/2005;28.221.600,94
25/01/2005;28.245.258,78
26/01/2005;28.297.487,30
27/01/2005;28.358.783,53
28/01/2005;28.440.240,95
31/01/2005;28.459.110,12
01/02/2005;28.514.486,09
02/02/2005;28.582.748,96
03/02/2005;28.672.747,36
04/02/2005;28.792.896,05
09/02/2005;28.811.780,95
10/02/2005;28.853.326,95
11/02/2005;28.932.740,04
14/02/2005;28.996.829,50
15/02/2005;29.127.547,77
16/02/2005;29.212.432,70
17/02/2005;29.270.878,17
18/02/2005;29.345.528,99
21/02/2005;29.396.980,56
22/02/2005;29.453.460,17
23/02/2005;29.513.313,16
24/02/2005;29.563.617,99
25/02/2005;29.663.865,30
28/02/2005;29.695.825,36
01/03/2005;29.768.662,22
02/03/2005;29.842.928,81
03/03/2005;29.907.639,03
04/03/2005;29.980.366,39
07/03/2005;30.035.423,55
08/03/2005;30.134.238,53
09/03/2005;30.233.381,49
10/03/2005;30.294.211,36
11/03/2005;30.371.439,56
14/03/2005;30.401.973,98
15/03/2005;30.464.270,53
16/03/2005;30.532.688,65
17/03/2005;30.608.844,55
18/03/2005;30.702.437,80
21/03/2005;30.742.845,02
22/03/2005;30.812.171,70
23/03/2005;30.877.707,50
24/03/2005;30.942.937,45
28/03/2005;30.985.393,39
29/03/2005;31.036.443,81
30/03/2005;31.077.961,34
31/03/2005;31.208.115,93
01/04/2005;31.257.775,97
04/04/2005;29.776.375,90
05/04/2005;31.428.033,55
06/04/2005;31.475.559,26
07/04/2005;31.535.946,08
08/04/2005;31.588.686,98
11/04/2005;31.625.149,83
12/04/2005;31.681.508,89
13/04/2005;31.727.923,05
14/04/2005;31.770.689,32
15/04/2005;31.846.878,74
18/04/2005;31.880.173,18
19/04/2005;31.933.164,55
20/04/2005;31.997.543,92
22/04/2005;32.038.759,31
25/04/2005;32.071.812,28
26/04/2005;32.110.246,69
27/04/2005;32.139.851,15
28/04/2005;32.188.788,82
29/04/2005;32.175.351,02
02/05/2005;32.186.678,16
03/05/2005;32.260.292,90
04/05/2005;32.288.290,16
05/05/2005;32.353.816,25
06/05/2005;32.423.334,93
09/05/2005;32.465.345,15
10/05/2005;32.518.571,30
11/05/2005;32.559.142,19
12/05/2005;32.612.041,99
13/05/2005;32.676.636,01
16/05/2005;32.726.702,40
17/05/2005;32.802.627,93
18/05/2005;32.852.926,30
19/05/2005;32.907.766,03
20/05/2005;32.962.794,97
23/05/2005;32.993.187,57
24/05/2005;33.046.192,10
25/05/2005;33.084.824,80
27/05/2005;33.132.563,25
30/05/2005;33.157.882,26
31/05/2005;33.216.553,53
01/06/2005;33.331.683,76
02/06/2005;33.379.145,23
03/06/2005;33.441.534,98
06/06/2005;33.499.515,68
07/06/2005;33.566.919,06
08/06/2005;33.626.541,22
09/06/2005;33.673.880,96
10/06/2005;33.736.812,93
13/06/2005;33.778.349,61
14/06/2005;33.850.241,91
15/06/2005;33.892.769,73
16/06/2005;33.953.671,35
17/06/2005;34.004.029,92
20/06/2005;34.038.942,87
21/06/2005;34.094.170,56
22/06/2005;34.145.832,63
23/06/2005;34.198.411,23
24/06/2005;34.252.366,47
27/06/2005;34.311.424,21
28/06/2005;34.362.109,72
29/06/2005;34.429.215,67
30/06/2005;34.481.651,40
01/07/2005;34.576.289,75
04/07/2005;34.656.589,87
05/07/2005;34.711.411,25
06/07/2005;34.757.541,80
07/07/2005;34.846.521,48
08/07/2005;34.908.096,97
11/07/2005;34.951.545,87
12/07/2005;35.054.565,87
13/07/2005;35.117.003,15
14/07/2005;35.174.793,03
15/07/2005;35.235.321,67
18/07/2005;35.303.831,74
19/07/2005;35.364.517,13
20/07/2005;35.399.955,07
21/07/2005;35.453.094,84
22/07/2005;35.526.114,14
25/07/2005;35.574.304,91
26/07/2005;35.629.351,24
27/07/2005;35.673.736,53
28/07/2005;35.736.099,04
29/07/2005;35.787.565,34
01/08/2005;35.852.684,70
02/08/2005;35.917.186,67
03/08/2005;35.970.128,30
04/08/2005;36.001.556,35
05/08/2005;36.065.162,07
08/08/2005;36.109.944,98
09/08/2005;36.182.055,60
10/08/2005;36.231.005,85
11/08/2005;36.276.229,38
12/08/2005;36.335.993,60
15/08/2005;36.386.946,31
16/08/2005;36.509.504,37
17/08/2005;36.573.768,94
18/08/2005;36.647.843,44
19/08/2005;36.733.787,75
22/08/2005;36.792.997,31
23/08/2005;36.869.929,56
24/08/2005;36.910.467,60
25/08/2005;36.958.158,18
26/08/2005;37.027.083,37
29/08/2005;37.049.351,99
30/08/2005;37.085.216,36
31/08/2005;37.131.839,78
01/09/2005;37.191.971,93
02/09/2005;37.256.355,72
05/09/2005;37.304.461,13
