Data;1184 - Saldo em juros flutuantes outros de depositos a prazo (CDB/RDB) - Pessoas fisicas - u.m.c. (mil)
03/01/2000;22.082,97
04/01/2000;22.093,02
05/01/2000;22.106,76
06/01/2000;22.102,42
07/01/2000;22.102,47
10/01/2000;21.402,51
11/01/2000;21.403,56
12/01/2000;21.285,46
13/01/2000;21.280,61
14/01/2000;21.267,44
17/01/2000;21.062,12
18/01/2000;21.166,02
19/01/2000;21.599,92
20/01/2000;21.604,32
21/01/2000;21.403,00
24/01/2000;21.445,92
25/01/2000;21.447,78
26/01/2000;21.316,92
27/01/2000;21.679,47
28/01/2000;21.591,91
31/01/2000;21.658,61
01/02/2000;21.657,61
02/02/2000;21.428,51
03/02/2000;21.428,90
04/02/2000;21.260,25
07/02/2000;20.797,84
08/02/2000;21.227,02
09/02/2000;21.191,24
10/02/2000;21.232,72
11/02/2000;20.431,27
14/02/2000;20.433,54
15/02/2000;20.432,24
16/02/2000;20.070,61
17/02/2000;19.899,62
18/02/2000;20.226,42
21/02/2000;19.705,66
22/02/2000;19.737,16
23/02/2000;19.734,01
24/02/2000;19.731,31
25/02/2000;15.608,77
28/02/2000;15.890,49
29/02/2000;16.120,54
01/03/2000;16.119,64
02/03/2000;16.121,39
03/03/2000;16.620,91
08/03/2000;16.620,23
09/03/2000;16.543,28
10/03/2000;16.510,85
13/03/2000;16.243,97
14/03/2000;16.836,14
15/03/2000;16.831,29
16/03/2000;16.641,99
17/03/2000;15.226,54
20/03/2000;15.228,04
21/03/2000;16.926,98
22/03/2000;16.780,06
23/03/2000;16.790,21
24/03/2000;16.790,71
27/03/2000;16.878,85
28/03/2000;17.679,62
29/03/2000;17.671,77
30/03/2000;17.674,47
31/03/2000;17.645,82
03/04/2000;17.667,54
04/04/2000;17.597,74
05/04/2000;17.698,06
06/04/2000;17.757,88
07/04/2000;19.234,64
10/04/2000;18.454,95
11/04/2000;20.213,07
12/04/2000;20.212,87
13/04/2000;20.213,16
14/04/2000;20.198,78
17/04/2000;20.024,48
18/04/2000;20.019,48
19/04/2000;19.738,62
20/04/2000;19.740,22
24/04/2000;19.665,72
25/04/2000;19.663,54
26/04/2000;19.418,60
27/04/2000;19.298,54
28/04/2000;19.299,92
02/05/2000;19.536,64
03/05/2000;19.416,69
04/05/2000;19.416,71
05/05/2000;20.530,52
08/05/2000;20.503,20
09/05/2000;20.537,99
10/05/2000;20.536,20
11/05/2000;20.989,82
12/05/2000;21.038,67
15/05/2000;21.089,81
16/05/2000;22.192,11
17/05/2000;21.727,84
18/05/2000;21.728,64
19/05/2000;21.700,44
22/05/2000;21.696,58
23/05/2000;22.095,25
24/05/2000;22.036,99
25/05/2000;22.038,26
26/05/2000;22.022,89
29/05/2000;21.856,40
30/05/2000;22.027,20
31/05/2000;22.037,75
01/06/2000;21.352,11
02/06/2000;21.352,95
05/06/2000;21.452,53
06/06/2000;21.510,98
07/06/2000;21.511,43
08/06/2000;21.569,95
09/06/2000;21.270,15
12/06/2000;20.962,31
13/06/2000;20.967,58
14/06/2000;20.867,78
15/06/2000;20.871,18
16/06/2000;21.622,28
19/06/2000;23.638,27
20/06/2000;25.033,49
21/06/2000;27.191,42
23/06/2000;28.656,59
26/06/2000;30.653,83
27/06/2000;31.975,57
28/06/2000;34.722,51
29/06/2000;36.182,69
30/06/2000;37.864,67
03/07/2000;39.963,98
04/07/2000;41.849,01
05/07/2000;43.311,43
06/07/2000;44.177,63
07/07/2000;46.969,43
10/07/2000;48.398,34
11/07/2000;49.139,46
12/07/2000;50.833,02
13/07/2000;52.179,01
14/07/2000;53.072,92
17/07/2000;47.222,70
18/07/2000;48.201,17
19/07/2000;48.966,45
20/07/2000;49.828,25
21/07/2000;51.373,09
24/07/2000;53.053,12
25/07/2000;53.314,25
26/07/2000;54.135,64
27/07/2000;54.464,20
28/07/2000;55.829,02
31/07/2000;56.089,82
01/08/2000;57.042,41
02/08/2000;58.244,90
03/08/2000;58.806,24
04/08/2000;59.881,71
07/08/2000;60.909,23
08/08/2000;62.227,42
09/08/2000;63.818,56
10/08/2000;64.249,51
11/08/2000;67.408,21
14/08/2000;67.938,86
15/08/2000;69.150,11
16/08/2000;70.172,31
17/08/2000;70.354,14
18/08/2000;71.109,99
21/08/2000;72.353,94
22/08/2000;72.883,72
23/08/2000;73.820,57
24/08/2000;74.175,82
25/08/2000;74.661,48
28/08/2000;77.594,60
29/08/2000;78.012,53
30/08/2000;78.802,74
31/08/2000;80.900,65
01/09/2000;83.663,32
04/09/2000;85.945,26
05/09/2000;88.064,05
06/09/2000;89.210,21
08/09/2000;90.129,16
11/09/2000;93.273,62
12/09/2000;97.558,78
13/09/2000;98.340,37
14/09/2000;99.514,20
15/09/2000;100.906,83
18/09/2000;103.972,08
19/09/2000;105.903,66
20/09/2000;107.542,77
21/09/2000;108.540,85
22/09/2000;109.623,65
25/09/2000;110.909,27
26/09/2000;112.761,67
27/09/2000;114.170,16
28/09/2000;115.145,98
29/09/2000;116.861,12
02/10/2000;120.553,92
03/10/2000;124.432,14
04/10/2000;127.179,64
05/10/2000;130.322,75
06/10/2000;131.159,72
09/10/2000;132.172,81
10/10/2000;131.611,76
11/10/2000;133.150,59
13/10/2000;134.326,88
16/10/2000;136.515,50
17/10/2000;139.539,63
18/10/2000;141.412,86
19/10/2000;140.772,86
20/10/2000;143.019,58
23/10/2000;146.075,48
24/10/2000;146.261,57
25/10/2000;148.810,31
26/10/2000;149.677,90
27/10/2000;151.594,64
30/10/2000;153.607,53
31/10/2000;153.272,24
01/11/2000;152.969,29
03/11/2000;155.237,88
06/11/2000;178.094,39
07/11/2000;182.415,45
08/11/2000;190.194,98
09/11/2000;194.797,57
10/11/2000;197.075,08
13/11/2000;200.864,91
14/11/2000;201.512,42
16/11/2000;206.779,83
17/11/2000;206.168,85
20/11/2000;223.510,79
21/11/2000;225.449,61
22/11/2000;228.536,51
23/11/2000;228.749,09
24/11/2000;228.692,45
27/11/2000;229.508,11
28/11/2000;229.606,43
29/11/2000;229.548,50
30/11/2000;229.189,80
01/12/2000;231.823,68
04/12/2000;238.153,82
05/12/2000;239.542,46
06/12/2000;239.407,14
07/12/2000;240.406,83
08/12/2000;240.344,09
11/12/2000;240.854,21
12/12/2000;240.438,94
13/12/2000;242.431,01
14/12/2000;241.988,81
15/12/2000;241.496,73
18/12/2000;241.003,01
19/12/2000;241.559,18
20/12/2000;241.177,26
21/12/2000;246.148,41
22/12/2000;246.785,37
26/12/2000;247.924,07
27/12/2000;245.286,18
28/12/2000;243.981,51
29/12/2000;243.983,11
02/01/2001;247.596,00
03/01/2001;250.328,06
04/01/2001;251.695,56
05/01/2001;253.774,69
08/01/2001;254.436,56
09/01/2001;254.723,39
10/01/2001;255.310,35
11/01/2001;255.377,21
12/01/2001;255.491,34
15/01/2001;254.996,78
16/01/2001;255.655,34
17/01/2001;257.800,03
18/01/2001;258.018,35
19/01/2001;258.581,82
22/01/2001;258.957,50
23/01/2001;255.325,53
24/01/2001;241.041,42
25/01/2001;240.944,44
26/01/2001;240.526,81
29/01/2001;240.413,76
30/01/2001;240.591,58
31/01/2001;240.740,79
01/02/2001;240.723,56
02/02/2001;240.620,16
05/02/2001;240.688,94
06/02/2001;240.860,20
07/02/2001;241.341,79
08/02/2001;241.535,65
09/02/2001;241.327,52
12/02/2001;240.926,37
13/02/2001;240.571,74
14/02/2001;240.403,29
15/02/2001;239.600,95
16/02/2001;239.538,66
19/02/2001;239.587,81
20/02/2001;239.605,07
21/02/2001;238.656,27
22/02/2001;238.337,20
23/02/2001;237.927,75
28/02/2001;238.093,02
01/03/2001;237.731,79
02/03/2001;238.398,97
05/03/2001;238.008,40
06/03/2001;238.404,28
07/03/2001;238.098,76
08/03/2001;237.924,53
09/03/2001;238.210,75
12/03/2001;238.790,46
13/03/2001;238.994,98
14/03/2001;241.992,01
15/03/2001;240.681,29
16/03/2001;240.105,35
19/03/2001;239.795,94
20/03/2001;240.623,72
21/03/2001;239.894,40
22/03/2001;239.873,52
23/03/2001;240.547,95
26/03/2001;241.093,00
27/03/2001;241.430,62
28/03/2001;241.570,45
29/03/2001;242.211,25
30/03/2001;242.055,15
02/04/2001;242.345,68
03/04/2001;244.682,16
04/04/2001;243.755,08
05/04/2001;244.086,04
06/04/2001;243.681,09
09/04/2001;243.326,35
10/04/2001;243.419,27
11/04/2001;242.797,58
12/04/2001;243.304,51
16/04/2001;244.242,78
17/04/2001;243.840,58
18/04/2001;243.851,92
19/04/2001;244.706,39
20/04/2001;245.221,78
23/04/2001;245.502,05
24/04/2001;246.323,71
25/04/2001;249.157,42
26/04/2001;250.923,83
27/04/2001;251.097,36
30/04/2001;257.922,05
02/05/2001;259.403,52
03/05/2001;259.308,03
04/05/2001;257.988,26
07/05/2001;258.323,34
08/05/2001;261.508,78
09/05/2001;262.318,86
10/05/2001;262.253,47
11/05/2001;262.262,50
14/05/2001;261.377,99
15/05/2001;261.620,58
16/05/2001;262.304,55
17/05/2001;266.055,05
18/05/2001;278.788,38
21/05/2001;282.071,10
22/05/2001;282.354,86
23/05/2001;282.499,13
24/05/2001;282.863,28
25/05/2001;283.617,69
28/05/2001;286.201,12
29/05/2001;286.842,20
