Data,1168 - Saldo em juros flutuantes DI de depositos a prazo (CDBRDB) - Pessoas fisicas - u.m.c. (mil)
02/01/2004,19436701.72
05/01/2004,19459816.07
06/01/2004,19475927.06
07/01/2004,19487590.68
08/01/2004,19495126.65
09/01/2004,19494500.09
12/01/2004,19462947.96
13/01/2004,19442331.34
14/01/2004,19450699.36
15/01/2004,19450348.36
16/01/2004,19448525.82
19/01/2004,19435730.83
20/01/2004,19450721.91
21/01/2004,19454919.2
22/01/2004,19466295.6
23/01/2004,19470308.42
26/01/2004,19496336.11
27/01/2004,19511467.07
28/01/2004,19509188.89
29/01/2004,19511517.67
30/01/2004,19541657.57
02/02/2004,19522292.99
03/02/2004,19535863.1
04/02/2004,19555189.15
05/02/2004,19564924.26
06/02/2004,19570665.95
09/02/2004,19573781.3
10/02/2004,19567646.39
11/02/2004,19591423.37
12/02/2004,19604362.61
13/02/2004,19623515.39
16/02/2004,19919350.63
17/02/2004,19902646.48
18/02/2004,19918547.09
19/02/2004,19934531.18
20/02/2004,21010193.28
25/02/2004,19959321.12
26/02/2004,19973111.13
27/02/2004,19993254.97
01/03/2004,19985544.42
02/03/2004,19998710.08
03/03/2004,20024709.01
04/03/2004,20056844.73
05/03/2004,20072482.82
08/03/2004,20120249.87
09/03/2004,20160923.21
10/03/2004,20198273.37
11/03/2004,20243649.4
12/03/2004,20268100.68
15/03/2004,20269136.59
16/03/2004,20310002.41
17/03/2004,20345899.6
18/03/2004,20404238.76
19/03/2004,20446718.57
22/03/2004,20457715.05
23/03/2004,20479485.86
24/03/2004,20499951.27
25/03/2004,20524900.06
26/03/2004,20550791.05
29/03/2004,20561985.84
30/03/2004,20579109.83
31/03/2004,20592136.27
01/04/2004,20608170.12
02/04/2004,20662948.8
05/04/2004,20665522.04
06/04/2004,20686702.67
07/04/2004,20725409.85
08/04/2004,20754433.99
12/04/2004,20755849.42
13/04/2004,20803393.27
14/04/2004,20819930.01
15/04/2004,20841393.67
16/04/2004,20884581.84
19/04/2004,20917462.67
20/04/2004,20953352.09
22/04/2004,20980703.15
23/04/2004,21002025.15
26/04/2004,21008740.07
27/04/2004,21028145.6
28/04/2004,21058581.56
29/04/2004,21081110.65
30/04/2004,21078827.59
03/05/2004,21103167.47
04/05/2004,21159556.01
05/05/2004,21228204.83
06/05/2004,21292844.23
07/05/2004,21361502.17
10/05/2004,21399971.56
11/05/2004,21472403.9
12/05/2004,21536087.3
13/05/2004,21617084.05
14/05/2004,21692008.57
17/05/2004,21723835.43
18/05/2004,21805368.63
19/05/2004,21865842.48
20/05/2004,21956958.61
21/05/2004,22027792.16
24/05/2004,22046668.99
25/05/2004,22115178.54
26/05/2004,22164685.96
27/05/2004,22206755.8
28/05/2004,22258369.32
31/05/2004,22261106.9
01/06/2004,22304974.69
02/06/2004,22349757.35
03/06/2004,22391636.11
04/06/2004,22449267.3
07/06/2004,22463304.94
08/06/2004,22510909.09
09/06/2004,22539876.17
11/06/2004,22551394.32
14/06/2004,22564796.26
15/06/2004,22590487.95
16/06/2004,22633809.81
17/06/2004,22672614.6
18/06/2004,22709995.01
21/06/2004,22717950.56
22/06/2004,22745990.61
23/06/2004,22777119.42
24/06/2004,22797185.91
25/06/2004,22834367.74
28/06/2004,22852695.18
29/06/2004,22889064.36
30/06/2004,22901826.26
01/07/2004,22935194.1
02/07/2004,22958823.98
05/07/2004,22963285.44
06/07/2004,22997775.31
07/07/2004,23019727.69
08/07/2004,23046858.48
09/07/2004,23060868.85
12/07/2004,23048643.43
13/07/2004,23068609.55
14/07/2004,23079092.88
15/07/2004,23087122.18
16/07/2004,23104996.28
19/07/2004,23112620.41
20/07/2004,23097827.74
21/07/2004,23121392.79
22/07/2004,23130756.82
23/07/2004,23153018.99
26/07/2004,23154842.45
27/07/2004,23171193.38
28/07/2004,23188102.69
29/07/2004,23204984.84
30/07/2004,23227477.12
02/08/2004,23254856.78
03/08/2004,23305991.09
04/08/2004,23348025.52
05/08/2004,23395655.5
06/08/2004,23444301.84
09/08/2004,23485143.45
10/08/2004,23537189.99
11/08/2004,23574936.65
12/08/2004,23605921.38
13/08/2004,23696450.91
16/08/2004,23782146.55
17/08/2004,23826699.12
18/08/2004,23897034.78
19/08/2004,23953579.29
20/08/2004,24008418.79
23/08/2004,24040243.24
24/08/2004,24094275.51
25/08/2004,24134614.11
26/08/2004,24162828.85
27/08/2004,24197172.06
30/08/2004,24198948.23
31/08/2004,24220181.87
01/09/2004,24252706.84
02/09/2004,24296782.88
03/09/2004,24348019.21
06/09/2004,24384994.62
08/09/2004,24407966.48
09/09/2004,24435114.76
10/09/2004,24481508.29
13/09/2004,24502603.72
14/09/2004,24552620.75
15/09/2004,24574801.91
16/09/2004,24611016.84
17/09/2004,24615858.21
20/09/2004,24629469.99
21/09/2004,24651656.78
22/09/2004,24725049.3
23/09/2004,24755469.15
24/09/2004,24796303.68
27/09/2004,24787292.75
28/09/2004,24806507.8
29/09/2004,24773062.25
30/09/2004,24750643.29
01/10/2004,24905445.62
04/10/2004,24939283.55
05/10/2004,25001234.31
06/10/2004,25039167.47
07/10/2004,25071126.62
08/10/2004,25107625.82
11/10/2004,25133378.92
13/10/2004,25158492.16
14/10/2004,25200032.43
15/10/2004,25235281.44
18/10/2004,25271011.82
19/10/2004,25324872.12
20/10/2004,25361266.62
21/10/2004,25405249.96
22/10/2004,25442453.13
25/10/2004,25492899.16
26/10/2004,25554741.64
27/10/2004,25578266.48
28/10/2004,25597174.82
29/10/2004,25610781.85
01/11/2004,25505251.61
03/11/2004,25525867.41
04/11/2004,25545709.39
05/11/2004,25576451.69
08/11/2004,25595552.33
09/11/2004,25627159.7
10/11/2004,25642968.58
11/11/2004,25552301.86
12/11/2004,25611000.62
16/11/2004,25629643.04
17/11/2004,25785445.67
18/11/2004,25859238.01
19/11/2004,25902355.4
22/11/2004,25915818.58
23/11/2004,25989300.1
24/11/2004,26047971.77
25/11/2004,26087165.81
26/11/2004,26125009.73
29/11/2004,26153094.41
30/11/2004,26169567.02
01/12/2004,26202982.72
02/12/2004,26246102.42
03/12/2004,26278211.78
06/12/2004,26275941.27
07/12/2004,26315691.83
08/12/2004,26344706.68
09/12/2004,26361231.59
10/12/2004,26390758.67
13/12/2004,26437165.56
14/12/2004,26517492.43
15/12/2004,26557460.8
16/12/2004,26608859.72
17/12/2004,26655941.06
20/12/2004,26679467.35
21/12/2004,26712942.3
22/12/2004,26806335.78
23/12/2004,26842754.84
24/12/2004,26864310.15
27/12/2004,26899050.29
28/12/2004,26917629.86
29/12/2004,26897510.53
30/12/2004,26898397.84
31/12/2004,26896339.73
03/01/2005,27063871.42
04/01/2005,27167267.9
05/01/2005,27291164.82
06/01/2005,27369656.36
07/01/2005,27452058.72
10/01/2005,27501366.75
11/01/2005,27584492.3
12/01/2005,27668706.37
13/01/2005,27762589.31
14/01/2005,27832780.99
17/01/2005,27875455.96
18/01/2005,27927298.5
19/01/2005,28008902.4
20/01/2005,28094638.43
21/01/2005,28167275.32
24/01/2005,28221600.94
25/01/2005,28245258.78
26/01/2005,28297487.3
27/01/2005,28358783.53
28/01/2005,28440240.95
31/01/2005,28459110.12
01/02/2005,28514486.09
02/02/2005,28582748.96
03/02/2005,28672747.36
04/02/2005,28792896.05
09/02/2005,28811780.95
10/02/2005,28853326.95
11/02/2005,28932740.04
14/02/2005,28996829.5
15/02/2005,29127547.77
16/02/2005,29212432.7
17/02/2005,29270878.17
18/02/2005,29345528.99
21/02/2005,29396980.56
22/02/2005,29453460.17
23/02/2005,29513313.16
24/02/2005,29563617.99
25/02/2005,29663865.3
28/02/2005,29695825.36
01/03/2005,29768662.22
02/03/2005,29842928.81
03/03/2005,29907639.03
04/03/2005,29980366.39
07/03/2005,30035423.55
08/03/2005,30134238.53
09/03/2005,30233381.49
10/03/2005,30294211.36
11/03/2005,30371439.56
14/03/2005,30401973.98
15/03/2005,30464270.53
16/03/2005,30532688.65
17/03/2005,30608844.55
18/03/2005,30702437.8
21/03/2005,30742845.02
22/03/2005,30812171.7
23/03/2005,30877707.5
24/03/2005,30942937.45
28/03/2005,30985393.39
29/03/2005,31036443.81
30/03/2005,31077961.34
31/03/2005,31208115.93
01/04/2005,31257775.97
04/04/2005,29776375.9
05/04/2005,31428033.55
06/04/2005,31475559.26
07/04/2005,31535946.08
08/04/2005,31588686.98
11/04/2005,31625149.83
12/04/2005,31681508.89
13/04/2005,31727923.05
14/04/2005,31770689.32
15/04/2005,31846878.74
18/04/2005,31880173.18
19/04/2005,31933164.55
20/04/2005,31997543.92
22/04/2005,32038759.31
25/04/2005,32071812.28
26/04/2005,32110246.69
27/04/2005,32139851.15
28/04/2005,32188788.82
29/04/2005,32175351.02
02/05/2005,32186678.16
03/05/2005,32260292.9
04/05/2005,32288290.16
05/05/2005,32353816.25
06/05/2005,32423334.93
09/05/2005,32465345.15
10/05/2005,32518571.3
11/05/2005,32559142.19
12/05/2005,32612041.99
13/05/2005,32676636.01
16/05/2005,32726702.4
17/05/2005,32802627.93
18/05/2005,32852926.3
19/05/2005,32907766.03
20/05/2005,32962794.97
23/05/2005,32993187.57
24/05/2005,33046192.1
25/05/2005,33084824.8
27/05/2005,33132563.25
30/05/2005,33157882.26
31/05/2005,33216553.53
01/06/2005,33331683.76
02/06/2005,33379145.23
03/06/2005,33441534.98
06/06/2005,33499515.68
07/06/2005,33566919.06
08/06/2005,33626541.22
09/06/2005,33673880.96
10/06/2005,33736812.93
13/06/2005,33778349.61
14/06/2005,33850241.91
15/06/2005,33892769.73
16/06/2005,33953671.35
17/06/2005,34004029.92
20/06/2005,34038942.87
21/06/2005,34094170.56
22/06/2005,34145832.63
23/06/2005,34198411.23
24/06/2005,34252366.47
27/06/2005,34311424.21
28/06/2005,34362109.72
29/06/2005,34429215.67
30/06/2005,34481651.4
01/07/2005,34576289.75
04/07/2005,34656589.87
05/07/2005,34711411.25
06/07/2005,34757541.8
07/07/2005,34846521.48
08/07/2005,34908096.97
11/07/2005,34951545.87
12/07/2005,35054565.87
13/07/2005,35117003.15
14/07/2005,35174793.03
15/07/2005,35235321.67
18/07/2005,35303831.74
19/07/2005,35364517.13
20/07/2005,35399955.07
21/07/2005,35453094.84
22/07/2005,35526114.14
25/07/2005,35574304.91
26/07/2005,35629351.24
27/07/2005,35673736.53
28/07/2005,35736099.04
29/07/2005,35787565.34
01/08/2005,35852684.7
02/08/2005,35917186.67
03/08/2005,35970128.3
04/08/2005,36001556.35
05/08/2005,36065162.07
08/08/2005,36109944.98
09/08/2005,36182055.6
10/08/2005,36231005.85
11/08/2005,36276229.38
12/08/2005,36335993.6
15/08/2005,36386946.31
16/08/2005,36509504.37
17/08/2005,36573768.94
18/08/2005,36647843.44
19/08/2005,36733787.75
22/08/2005,36792997.31
23/08/2005,36869929.56
24/08/2005,36910467.6
25/08/2005,36958158.18
26/08/2005,37027083.37
29/08/2005,37049351.99
30/08/2005,37085216.36
31/08/2005,37131839.78
01/09/2005,37191971.93
02/09/2005,37256355.72
05/09/2005,37304461.13
06/09/2005,37380299.52
08/09/2005,37456800.94
09/09/2005,37540198.59
12/09/2005,37582344.13
13/09/2005,37664993.8
14/09/2005,37729057.2
15/09/2005,37784840.22
16/09/2005,37852018.91
19/09/2005,37912585.56
20/09/2005,37957923.08
21/09/2005,38038897.87
22/09/2005,38098380.37
23/09/2005,38178963.89
26/09/2005,38194802.83
27/09/2005,38255575.61
28/09/2005,38282101.04
29/09/2005,38328214.38
30/09/2005,38376469.56
03/10/2005,38434946.26
04/10/2005,38528298.62
05/10/2005,38598061.62
06/10/2005,38657321.11
07/10/2005,38706555.83
10/10/2005,38725387.92
11/10/2005,38790846.14
13/10/2005,38838045.21
14/10/2005,38879787.61
17/10/2005,38955364.3
18/10/2005,39022935.88
19/10/2005,39086308.83
20/10/2005,39138649.57
21/10/2005,39191247.25
24/10/2005,39223942.25
25/10/2005,39286082.19
26/10/2005,39352827.37
27/10/2005,39397557.66
28/10/2005,39457662.14
31/10/2005,39471591.58
01/11/2005,39533625.77
03/11/2005,39575492.84
04/11/2005,39645811.7
07/11/2005,39644031.61
08/11/2005,39695852.94
09/11/2005,39739984.39
10/11/2005,39782146.6
11/11/2005,39892604.63
14/11/2005,39945024.2
16/11/2005,39983071.93
17/11/2005,40048075.92
18/11/2005,40122721.15
21/11/2005,40163109.03
22/11/2005,40223823.51
23/11/2005,40274754.33
24/11/2005,40339457.63
25/11/2005,40396649.46
28/11/2005,40422450.2
29/11/2005,40462011.94
30/11/2005,40482187.49
01/12/2005,40539541.35
02/12/2005,40598286.5
05/12/2005,40617956.45
06/12/2005,40682113.48
07/12/2005,40744743.57
08/12/2005,40776112.55
09/12/2005,40829085.62
